Drug1,Drug2,Compatibility
Metronidazole,Clonidine hydrocloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Metronidazole,Cloxacillin sodium,Compatible
Metronidazole,Diazepam,Not compatible
Metronidazole,Erythromycin lactobionate,Compatible
Metronidazole,Fluconazole,Compatible
Metronidazole,Furosemide (Frusemide),Compatible
Metronidazole,Gentamicin sulfate,Compatible
Metronidazole,Hydrocortisone sodium succinate,Compatible
Metronidazole,Ibuprofen,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Metronidazole,Ketamine HCl,Compatible
Metronidazole,Lorazepam,Compatible
Metronidazole,Levetiracetam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Metronidazole,Magnesium sulfate,Compatible
Metronidazole,Meropenem,Compatible
Metronidazole,Methylprednisolone sodium succinate,Compatible
Metronidazole,Morphine sulfate,Compatible
Metronidazole,Omeprazole sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Metronidazole,Ondansetron hydrochloride,Compatible
Metronidazole,Phenobarbital sodium,Compatible
Metronidazole,Penicillin G sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Metronidazole,Phenytoin sodium,Not compatible
Metronidazole,Piperacillin sodium-Tazobactam sodium,Compatible
Metronidazole,Potassium chloride,Compatible
Metronidazole,Potassium phosphates,Compatible
Metronidazole,Sodium acetate,Compatible
Metronidazole,Sodium bicarbonate,Compatible
Metronidazole,Sulfamethoxazole-Trimethoprim,Compatible
Metronidazole,Vancomycin hydrochloride,Compatible
Morphine sulfate,Acetaminophen/Paracetamol,Compatible
Morphine sulfate,Acyclovir,Not compatible
Morphine sulfate,Amikacin sulfate,Compatible
Morphine sulfate,Aminophylline,Compatible
Morphine sulfate,Amoxicillin sodium-clavulanate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Morphine sulfate,Ampicillin sodium,Compatible if NaCl 0.9% used
Morphine sulfate,Ampicillin sodium-sulbactam sodium*,Compatible if NaCl 0.9% used
Morphine sulfate,Calcium chloride,Compatible
Morphine sulfate,Calcium gluconate,Compatible
Morphine sulfate,Cefazolin sodium,Compatible
Morphine sulfate,Ceftazidime,Compatible
Morphine sulfate,Ceftriaxone sodium,Compatible
Morphine sulfate,Ciprofloxacin,Compatible if NaCl 0.9% used
Morphine sulfate,Clindamycin phosphate,Compatible
Morphine sulfate,Clonidine hydrocloride,Compatible
Morphine sulfate,Cloxacillin sodium,Not compatible
Morphine sulfate,Diazepam,Not compatible
Morphine sulfate,Erythromycin lactobionate,Compatible
Morphine sulfate,Fluconazole,Compatible
Morphine sulfate,Furosemide (Frusemide),Not compatible
Morphine sulfate,Gentamicin sulfate,Compatible
Morphine sulfate,Hydrocortisone sodium succinate,Compatible
Morphine sulfate,Ibuprofen,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Morphine sulfate,Ketamine HCl,Compatible
Morphine sulfate,Lorazepam,Compatible
Morphine sulfate,Levetiracetam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Morphine sulfate,Magnesium sulfate,Compatible
Morphine sulfate,Meropenem,Compatible
Morphine sulfate,Methylprednisolone sodium succinate,Compatible
Morphine sulfate,Metronidazole,Compatible
Morphine sulfate,Omeprazole sodium,Compatible if NaCl 0.9% used
Morphine sulfate,Ondansetron hydrochloride,Compatible
Morphine sulfate,Phenobarbital sodium,Compatible
Morphine sulfate,Penicillin G sodium,Compatible
Morphine sulfate,Phenytoin sodium,Not compatible
Morphine sulfate,Piperacillin sodium-Tazobactam sodium,Compatible
Morphine sulfate,Potassium chloride,Compatible
Morphine sulfate,Potassium phosphates,Compatible if NaCl 0.9% used
Morphine sulfate,Sodium acetate,Compatible
Morphine sulfate,Sodium bicarbonate,Compatible
Morphine sulfate,Sulfamethoxazole-Trimethoprim,Cb
Morphine sulfate,Vancomycin hydrochloride,Compatible
Omeprazole sodium,Acetaminophen/Paracetamol,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Omeprazole sodium,Acyclovir,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Omeprazole sodium,Amikacin sulfate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Omeprazole sodium,Aminophylline,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Omeprazole sodium,Amoxicillin sodium-clavulanate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Omeprazole sodium,Ampicillin sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Omeprazole sodium,Ampicillin sodium-sulbactam sodium*,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Omeprazole sodium,Calcium chloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Omeprazole sodium,Calcium gluconate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Omeprazole sodium,Cefazolin sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Omeprazole sodium,Ceftazidime,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Omeprazole sodium,Ceftriaxone sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Omeprazole sodium,Ciprofloxacin,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Omeprazole sodium,Clindamycin phosphate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Omeprazole sodium,Clonidine hydrocloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Omeprazole sodium,Cloxacillin sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Omeprazole sodium,Diazepam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Omeprazole sodium,Erythromycin lactobionate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Omeprazole sodium,Fluconazole,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Omeprazole sodium,Furosemide (Frusemide),No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Omeprazole sodium,Gentamicin sulfate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Omeprazole sodium,Hydrocortisone sodium succinate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Omeprazole sodium,Ibuprofen,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Omeprazole sodium,Ketamine HCl,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Omeprazole sodium,Lorazepam,Not compatible
Omeprazole sodium,Levetiracetam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Omeprazole sodium,Magnesium sulfate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Omeprazole sodium,Meropenem,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Omeprazole sodium,Methylprednisolone sodium succinate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Omeprazole sodium,Metronidazole,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Omeprazole sodium,Morphine sulfate,Compatible if NaCl 0.9% used
Omeprazole sodium,Ondansetron hydrochloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Omeprazole sodium,Phenobarbital sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Omeprazole sodium,Penicillin G sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Omeprazole sodium,Phenytoin sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Omeprazole sodium,Piperacillin sodium-Tazobactam sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Omeprazole sodium,Potassium chloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Omeprazole sodium,Potassium phosphates,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Omeprazole sodium,Sodium acetate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Omeprazole sodium,Sodium bicarbonate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Omeprazole sodium,Sulfamethoxazole-Trimethoprim,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Omeprazole sodium,Vancomycin hydrochloride,Not compatible
Ondansetron hydrochloride,Acetaminophen/Paracetamol,Compatible
Ondansetron hydrochloride,Acyclovir,Not compatible
Ondansetron hydrochloride,Amikacin sulfate,Compatible
Ondansetron hydrochloride,Aminophylline,Not compatible
Ondansetron hydrochloride,Amoxicillin sodium-clavulanate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ondansetron hydrochloride,Ampicillin sodium,Not compatible
Ondansetron hydrochloride,Ampicillin sodium-sulbactam sodium*,Not compatible
Ondansetron hydrochloride,Calcium chloride,Compatible
Ondansetron hydrochloride,Calcium gluconate,Compatible
Ondansetron hydrochloride,Cefazolin sodium,Compatible
Ondansetron hydrochloride,Ceftazidime,Compatible
Ondansetron hydrochloride,Ceftriaxone sodium,Compatible
Ondansetron hydrochloride,Ciprofloxacin,Compatible
Ondansetron hydrochloride,Clindamycin phosphate,Compatible
Ondansetron hydrochloride,Clonidine hydrocloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ondansetron hydrochloride,Cloxacillin sodium,Compatible
Ondansetron hydrochloride,Diazepam,Not compatible
Ondansetron hydrochloride,Erythromycin lactobionate,Compatible
Ondansetron hydrochloride,Fluconazole,Compatible
Ondansetron hydrochloride,Furosemide (Frusemide),Not compatible
Ondansetron hydrochloride,Gentamicin sulfate,Compatible
Ondansetron hydrochloride,Hydrocortisone sodium succinate,Compatible
Ondansetron hydrochloride,Ibuprofen,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ondansetron hydrochloride,Ketamine HCl,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ondansetron hydrochloride,Lorazepam,Not compatible
Ondansetron hydrochloride,Levetiracetam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ondansetron hydrochloride,Magnesium sulfate,Compatible
Ondansetron hydrochloride,Meropenem,Not compatible
Ondansetron hydrochloride,Methylprednisolone sodium succinate,Not compatible
Ondansetron hydrochloride,Metronidazole,Compatible
Ondansetron hydrochloride,Morphine sulfate,Compatible
Ondansetron hydrochloride,Omeprazole sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Ondansetron hydrochloride,Phenobarbital sodium,Not compatible
Ondansetron hydrochloride,Penicillin G sodium,Compatible
Ondansetron hydrochloride,Phenytoin sodium,Not compatible
Ondansetron hydrochloride,Piperacillin sodium-Tazobactam sodium,Compatible
Ondansetron hydrochloride,Potassium chloride,Compatible
Ondansetron hydrochloride,Potassium phosphates,Compatible
Ondansetron hydrochloride,Sodium acetate,Compatible
Ondansetron hydrochloride,Sodium bicarbonate,Not compatible
Ondansetron hydrochloride,Sulfamethoxazole-Trimethoprim,Not compatible
Ondansetron hydrochloride,Vancomycin hydrochloride,Compatible
Phenobarbital sodium,Acetaminophen/Paracetamol,Not compatible
Phenobarbital sodium,Acyclovir,Compatible
Phenobarbital sodium,Amikacin sulfate,Compatible
Phenobarbital sodium,Aminophylline,Compatible
Phenobarbital sodium,Amoxicillin sodium-clavulanate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Phenobarbital sodium,Ampicillin sodium,Not compatible
Phenobarbital sodium,Ampicillin sodium-sulbactam sodium*,Compatible if NaCl 0.9% used
Phenobarbital sodium,Calcium chloride,Compatible
Phenobarbital sodium,Calcium gluconate,Compatible
Phenobarbital sodium,Cefazolin sodium,Compatible
Phenobarbital sodium,Ceftazidime,Compatible
Phenobarbital sodium,Ceftriaxone sodium,Compatible
Phenobarbital sodium,Ciprofloxacin,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Phenobarbital sodium,Clindamycin phosphate,Compatible
Phenobarbital sodium,Clonidine hydrocloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Phenobarbital sodium,Cloxacillin sodium,Compatible
Phenobarbital sodium,Diazepam,Not compatible
Phenobarbital sodium,Erythromycin lactobionate,Not compatible
Phenobarbital sodium,Fluconazole,Compatible
Phenobarbital sodium,Furosemide (Frusemide),Compatible
Phenobarbital sodium,Gentamicin sulfate,Compatible
Phenobarbital sodium,Hydrocortisone sodium succinate,Compatible
Phenobarbital sodium,Ibuprofen,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Phenobarbital sodium,Ketamine HCl,Not compatible
Phenobarbital sodium,Lorazepam,Compatible
Phenobarbital sodium,Levetiracetam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Phenobarbital sodium,Magnesium sulfate,Compatible
Phenobarbital sodium,Meropenem,Compatible
Phenobarbital sodium,Methylprednisolone sodium succinate,Compatible
Phenobarbital sodium,Metronidazole,Compatible
Phenobarbital sodium,Morphine sulfate,Compatible
Phenobarbital sodium,Omeprazole sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Phenobarbital sodium,Ondansetron hydrochloride,Not compatible
Phenobarbital sodium,Penicillin G sodium,Not compatible
Phenobarbital sodium,Phenytoin sodium,Not compatible
Phenobarbital sodium,Piperacillin sodium-Tazobactam sodium,Compatible
Phenobarbital sodium,Potassium chloride,Compatible
Phenobarbital sodium,Potassium phosphates,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Phenobarbital sodium,Sodium acetate,Compatible
Phenobarbital sodium,Sodium bicarbonate,Compatible
Phenobarbital sodium,Sulfamethoxazole-Trimethoprim,Not compatible
Phenobarbital sodium,Vancomycin hydrochloride,Compatible
Penicillin G sodium,Acetaminophen/Paracetamol,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Penicillin G sodium,Acyclovir,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Penicillin G sodium,Amikacin sulfate,Compatible
Penicillin G sodium,Aminophylline,Not compatible
Penicillin G sodium,Amoxicillin sodium-clavulanate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Penicillin G sodium,Ampicillin sodium,Compatible if NaCl 0.9% used
Penicillin G sodium,Ampicillin sodium-sulbactam sodium*,Compatible if NaCl 0.9% used
Penicillin G sodium,Calcium chloride,Compatible
Penicillin G sodium,Calcium gluconate,Compatible
Penicillin G sodium,Cefazolin sodium,Compatible
Penicillin G sodium,Ceftazidime,Compatible
Penicillin G sodium,Ceftriaxone sodium,Compatible
Penicillin G sodium,Ciprofloxacin,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Penicillin G sodium,Clindamycin phosphate,Compatible
Penicillin G sodium,Clonidine hydrocloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Penicillin G sodium,Cloxacillin sodium,Compatible
Penicillin G sodium,Diazepam,Not compatible
Penicillin G sodium,Erythromycin lactobionate,Not compatible
Penicillin G sodium,Fluconazole,Compatible
Penicillin G sodium,Furosemide (Frusemide),Compatible
Penicillin G sodium,Gentamicin sulfate,Compatible
Penicillin G sodium,Hydrocortisone sodium succinate,Compatible
Penicillin G sodium,Ibuprofen,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Penicillin G sodium,Ketamine HCl,Compatible
Penicillin G sodium,Lorazepam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Penicillin G sodium,Levetiracetam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Penicillin G sodium,Magnesium sulfate,Compatible
Penicillin G sodium,Meropenem,Compatible
Penicillin G sodium,Methylprednisolone sodium succinate,Compatible
Penicillin G sodium,Metronidazole,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Penicillin G sodium,Morphine sulfate,Compatible
Penicillin G sodium,Omeprazole sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Penicillin G sodium,Ondansetron hydrochloride,Compatible
Penicillin G sodium,Phenobarbital sodium,Not compatible
Penicillin G sodium,Phenytoin sodium,Not compatible
Penicillin G sodium,Piperacillin sodium-Tazobactam sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Penicillin G sodium,Potassium chloride,Compatible
Penicillin G sodium,Potassium phosphates,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Penicillin G sodium,Sodium acetate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Penicillin G sodium,Sodium bicarbonate,Compatible
Penicillin G sodium,Sulfamethoxazole-Trimethoprim,Not compatible
Penicillin G sodium,Vancomycin hydrochloride,Compatible
Phenytoin sodium,Acetaminophen/Paracetamol,Not compatible
Phenytoin sodium,Acyclovir,Not compatible
Phenytoin sodium,Amikacin sulfate,Not compatible
Phenytoin sodium,Aminophylline,Not compatible
Phenytoin sodium,Amoxicillin sodium-clavulanate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Phenytoin sodium,Ampicillin sodium,Not compatible
Phenytoin sodium,Ampicillin sodium-sulbactam sodium*,Not compatible
Phenytoin sodium,Calcium chloride,Not compatible
Phenytoin sodium,Calcium gluconate,Not compatible
Phenytoin sodium,Cefazolin sodium,Not compatible
Phenytoin sodium,Ceftazidime,Not compatible
Phenytoin sodium,Ceftriaxone sodium,Not compatible
Phenytoin sodium,Ciprofloxacin,Not compatible
Phenytoin sodium,Clindamycin phosphate,Not compatible
Phenytoin sodium,Clonidine hydrocloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Phenytoin sodium,Cloxacillin sodium,Not compatible
Phenytoin sodium,Diazepam,Not compatible
Phenytoin sodium,Erythromycin lactobionate,Not compatible
Phenytoin sodium,Fluconazole,Compatible
Phenytoin sodium,Furosemide (Frusemide),Not compatible
Phenytoin sodium,Gentamicin sulfate,Not compatible
Phenytoin sodium,Hydrocortisone sodium succinate,Not compatible
Phenytoin sodium,Ibuprofen,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Phenytoin sodium,Ketamine HCl,Not compatible
Phenytoin sodium,Lorazepam,Not compatible
Phenytoin sodium,Levetiracetam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Phenytoin sodium,Magnesium sulfate,Not compatible
Phenytoin sodium,Meropenem,Not compatible
Phenytoin sodium,Methylprednisolone sodium succinate,Not compatible
Phenytoin sodium,Metronidazole,Not compatible
Phenytoin sodium,Morphine sulfate,Not compatible
Phenytoin sodium,Omeprazole sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Phenytoin sodium,Ondansetron hydrochloride,Not compatible
Phenytoin sodium,Phenobarbital sodium,Not compatible
Phenytoin sodium,Penicillin G sodium,Not compatible
Phenytoin sodium,Piperacillin sodium-Tazobactam sodium,Not compatible
Phenytoin sodium,Potassium chloride,Not compatible
Phenytoin sodium,Potassium phosphates,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Phenytoin sodium,Sodium acetate,Not compatible
Phenytoin sodium,Sodium bicarbonate,Not compatible
Phenytoin sodium,Sulfamethoxazole-Trimethoprim,Not compatible
Phenytoin sodium,Vancomycin hydrochloride,Not compatible
Piperacillin sodium-Tazobactam sodium,Acetaminophen/Paracetamol,Compatible
Piperacillin sodium-Tazobactam sodium,Acyclovir,Not compatible
Piperacillin sodium-Tazobactam sodium,Amikacin sulfate,Compatible
Piperacillin sodium-Tazobactam sodium,Aminophylline,Compatible
Piperacillin sodium-Tazobactam sodium,Amoxicillin sodium-clavulanate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Piperacillin sodium-Tazobactam sodium,Ampicillin sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Piperacillin sodium-Tazobactam sodium,Ampicillin sodium-sulbactam sodium*,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Piperacillin sodium-Tazobactam sodium,Calcium chloride,Compatible
Piperacillin sodium-Tazobactam sodium,Calcium gluconate,Compatible
Piperacillin sodium-Tazobactam sodium,Cefazolin sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Piperacillin sodium-Tazobactam sodium,Ceftazidime,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Piperacillin sodium-Tazobactam sodium,Ceftriaxone sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Piperacillin sodium-Tazobactam sodium,Ciprofloxacin,Not compatible
Piperacillin sodium-Tazobactam sodium,Clindamycin phosphate,Compatible
Piperacillin sodium-Tazobactam sodium,Clonidine hydrocloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Piperacillin sodium-Tazobactam sodium,Cloxacillin sodium,Compatible
Piperacillin sodium-Tazobactam sodium,Diazepam,Compatible
Piperacillin sodium-Tazobactam sodium,Erythromycin lactobionate,Compatible
Piperacillin sodium-Tazobactam sodium,Fluconazole,Compatible
Piperacillin sodium-Tazobactam sodium,Furosemide (Frusemide),Compatible
Piperacillin sodium-Tazobactam sodium,Gentamicin sulfate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Piperacillin sodium-Tazobactam sodium,Hydrocortisone sodium succinate,Compatible
Piperacillin sodium-Tazobactam sodium,Ibuprofen,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Piperacillin sodium-Tazobactam sodium,Ketamine HCl,Compatible
Piperacillin sodium-Tazobactam sodium,Lorazepam,Compatible
Piperacillin sodium-Tazobactam sodium,Levetiracetam,Not compatible
Piperacillin sodium-Tazobactam sodium,Magnesium sulfate,Compatible
Piperacillin sodium-Tazobactam sodium,Meropenem,Compatible
Piperacillin sodium-Tazobactam sodium,Methylprednisolone sodium succinate,Compatible
Piperacillin sodium-Tazobactam sodium,Metronidazole,Compatible
Piperacillin sodium-Tazobactam sodium,Morphine sulfate,Compatible
Piperacillin sodium-Tazobactam sodium,Omeprazole sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Piperacillin sodium-Tazobactam sodium,Ondansetron hydrochloride,Compatible
Piperacillin sodium-Tazobactam sodium,Phenobarbital sodium,Compatible
